CAMERA_ID,CITY,EQUIP_TYPE,JUDGMENT_CLEAN,LONGITUDE,LATITUDE
NP0106,NTP,固定式交通違規照相路段,超速,121.3713,24.89559
NP0107,NTP,固定式交通違規照相路段,超速,121.3607975,24.860157
TN0024,TN,固定式交通違規照相路段,超速,120.1378723,23.2928345
TY0006,TY,固定式交通違規照相路段,超速,121.2882612,25.0206158
KH0001,KS,移動式測速設備執法地點,超速,120.2918267,22.6459115
KH0002,KS,移動式測速設備執法地點,超速,120.3256305,22.7133358
KH0003,KS,移動式測速設備執法地點,超速,120.3377785,22.6375258
KH0004,KS,移動式測速設備執法地點,超速,120.3254412,22.6478359
KH0005,KS,移動式測速設備執法地點,超速,120.3151781,22.6680471
KH0006,KS,移動式測速設備執法地點,超速,120.2828264,22.6451836
KH0007,KS,移動式測速設備執法地點,超速,120.3336412,22.5748618
KH0008,KS,移動式測速設備執法地點,超速,120.369232,22.5285908
KH0009,KS,移動式測速設備執法地點,超速,120.36073,22.7332263
KH0010,KS,移動式測速設備執法地點,超速,120.3663027,22.729932
KH0011,KS,移動式測速設備執法地點,超速,120.439201,22.708195
KH0012,KS,移動式測速設備執法地點,超速,120.4198,22.6969657
KH0013,KS,移動式測速設備執法地點,超速,120.3580074,22.6929889
KH0014,KS,移動式測速設備執法地點,超速,120.3598042,22.7020503
KH0015,KS,移動式測速設備執法地點,超速,120.3573944,22.6781638
KH0016,KS,移動式測速設備執法地點,超速,120.3227662,22.6975809
KH0017,KS,移動式測速設備執法地點,超速,120.3517556,22.6646843
KH0018,KS,移動式測速設備執法地點,超速,120.3419684,22.6511217
KH0019,KS,移動式測速設備執法地點,超速,120.3625865,22.6588118
KH0020,KS,移動式測速設備執法地點,超速,120.3820351,22.6582293
KH0021,KS,移動式測速設備執法地點,超速,120.3654117,22.6485823
KH0022,KS,移動式測速設備執法地點,超速,120.3577879,22.7042592
KH0023,KS,移動式測速設備執法地點,超速,120.3955164,22.7251088
KH0027,KS,移動式測速設備執法地點,超速,120.3254229,22.7179956
KH0028,KS,移動式測速設備執法地點,超速,120.3144713,22.6790854
KH0029,KS,移動式測速設備執法地點,超速,120.2968557,22.6779176
KH0030,KS,移動式測速設備執法地點,超速,120.304862,22.673503
KH0031,KS,移動式測速設備執法地點,超速,120.2989254,22.67205837
